TIME 	[B,Du,Df,Db,Dr,Dl,Gu,Gf,Gb,Gr,Gl]	Action		Score

0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	0
1	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	-1
2	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	ROTATELEFT	-2
3	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	-3
4	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]	CLEAN		96
5	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	95
6	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	94
7	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	93
8	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	92
9	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	91
10	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATELEFT	90
11	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATELEFT	89
12	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	88
13	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	87
14	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	86
15	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	85
16	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	84
17	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	83
18	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATE RIGHT	82
19	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	81
20	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	80
21	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	ROTATELEFT	79
22	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	78
23	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	77
24	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	76
25	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	MOVE FORWARD	75
26	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	ROTATE RIGHT	74
27	[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]	ROTATE RIGHT	73
28	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	ROTATE RIGHT	72
29	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	MOVE FORWARD	71
30	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	POWEROFF	70
